Julian Date	Pc Latitude (deg)	Aerosol Opacity	Uncertainty
2445380.5	-48	1.169	0.438
2445440.5	-48	1.182	0.441
2445500.5	-48	1.183	0.442
2445560.5	-48	1.162	0.436
2445620.5	-48	1.135	0.429
2445680.5	-48	1.108	0.423
2445740.5	-48	1.073	0.415
2445800.5	-48	1.029	0.405
2445860.5	-48	0.978	0.393
2445920.5	-48	0.909	0.377
2445980.5	-48	0.859	0.365
2446040.5	-48	0.826	0.358
2446100.5	-48	0.813	0.355
2446160.5	-48	0.817	0.357
2446220.5	-48	0.836	0.363
2446280.5	-48	0.868	0.372
2446340.5	-48	0.912	0.384
2446400.5	-48	0.971	0.4
2446460.5	-48	1.027	0.416
2446520.5	-48	1.053	0.424
2446580.5	-48	1.046	0.423
2446640.5	-48	1.018	0.417
2446700.5	-48	0.985	0.409
2446760.5	-48	0.953	0.402
2446820.5	-48	0.927	0.396
2446880.5	-48	0.905	0.391
2446940.5	-48	0.883	0.385
2447000.5	-48	0.859	0.378
2447060.5	-48	0.856	0.376
2447120.5	-48	0.89	0.385
2447180.5	-48	0.886	0.383
2447240.5	-48	0.905	0.386
2447300.5	-48	0.914	0.387
2447360.5	-48	0.879	0.377
2447420.5	-48	0.848	0.369
2447480.5	-48	0.829	0.364
2447540.5	-48	0.812	0.36
2447600.5	-48	0.783	0.353
2447660.5	-48	0.768	0.35
2447720.5	-48	0.754	0.347
2447780.5	-48	0.75	0.347
2447840.5	-48	0.764	0.352
2447900.5	-48	0.787	0.358
2447960.5	-48	0.809	0.364
2448020.5	-48	0.834	0.37
2448080.5	-48	0.86	0.376
2448140.5	-48	0.883	0.381
2448200.5	-48	0.898	0.383
2448260.5	-48	0.913	0.387
2448320.5	-48	0.926	0.389
2448380.5	-48	0.936	0.39
2448440.5	-48	0.948	0.392
2448500.5	-48	0.97	0.396
2448560.5	-48	1.006	0.405
2448620.5	-48	0.994	0.401
2448680.5	-48	1.009	0.404
2448740.5	-48	1.005	0.402
2448800.5	-48	0.977	0.395
2448860.5	-48	0.958	0.389
2448920.5	-48	0.94	0.384
2448980.5	-48	0.917	0.378
2449040.5	-48	0.886	0.37
2449100.5	-48	0.874	0.366
2449160.5	-48	0.861	0.362
2449220.5	-48	0.855	0.36
2449280.5	-48	0.854	0.359
2449340.5	-48	0.862	0.36
2449400.5	-48	0.876	0.363
2449460.5	-48	0.895	0.368
2449520.5	-48	0.919	0.374
2449580.5	-48	0.967	0.386
2449640.5	-48	0.989	0.392
2449700.5	-48	0.993	0.394
2449760.5	-48	0.992	0.395
2449820.5	-48	0.995	0.397
2449880.5	-48	1.007	0.401
2449940.5	-48	1.028	0.409
2450000.5	-48	1.056	0.418
2450060.5	-48	1.095	0.43
2450120.5	-48	1.095	0.266
2450180.5	-48	1.135	0.275
2450240.5	-48	1.167	0.281
2450300.5	-48	1.16	0.279
2450360.5	-48	1.154	0.278
2450420.5	-48	1.143	0.275
2450480.5	-48	1.128	0.272
2450540.5	-48	1.107	0.268
2450600.5	-48	1.079	0.263
2450660.5	-48	1.038	0.257
2450720.5	-48	1.01	0.252
2450780.5	-48	0.985	0.25
2450840.5	-48	0.967	0.249
2450900.5	-48	0.954	0.248
2450960.5	-48	0.962	0.252
2451020.5	-48	1.012	0.264
2451080.5	-48	1.045	0.273
2451140.5	-48	1.06	0.278
2451200.5	-48	1.077	0.283
2451260.5	-48	1.084	0.285
2451320.5	-48	1.071	0.282
2451380.5	-48	1.06	0.279
