Julian Date	Pc Latitude (deg)	Temperature (K)	Temperature uncertainty (K)
2445380.5	11.3	-48	156.4	2.9
2445440.5	11.3	-48	156.5	2.9
2445500.5	11.3	-48	156.5	2.9
2445560.5	11.3	-48	156.5	2.9
2445620.5	11.3	-48	156.6	2.9
2445680.5	11.3	-48	156.6	2.9
2445740.5	11.3	-48	156.5	2.9
2445800.5	11.3	-48	156.3	2.9
2445860.5	11.3	-48	156.1	2.9
2445920.5	11.3	-48	155.9	2.9
2445980.5	11.3	-48	155.7	2.9
2446040.5	11.3	-48	155.5	2.9
2446100.5	11.3	-48	155.3	2.9
2446160.5	11.3	-48	155	2.9
2446220.5	11.3	-48	154.8	2.9
2446280.5	11.3	-48	154.5	2.9
2446340.5	11.3	-48	154.3	2.9
2446400.5	11.3	-48	154.2	2.9
2446460.5	11.3	-48	154	2.9
2446520.5	11.3	-48	153.9	2.9
2446580.5	11.3	-48	153.9	2.9
2446640.5	11.3	-48	153.8	2.9
2446700.5	11.3	-48	153.7	2.9
2446760.5	11.3	-48	153.6	3
2446820.5	11.3	-48	153.5	3
2446880.5	11.3	-48	153.4	3
2446940.5	11.3	-48	153.2	3
2447000.5	11.3	-48	153.1	3
2447060.5	11.3	-48	153.1	3
2447120.5	11.3	-48	153.1	3
2447180.5	11.3	-48	153	3
2447240.5	11.3	-48	153	3
2447300.5	11.3	-48	153	3
2447360.5	11.3	-48	153	3
2447420.5	11.3	-48	153.1	3
2447480.5	11.3	-48	153.1	3
2447540.5	11.3	-48	153.1	3
2447600.5	11.3	-48	153	3
2447660.5	11.3	-48	153	3
2447720.5	11.3	-48	152.9	3
2447780.5	11.3	-48	152.8	3
2447840.5	11.3	-48	152.7	3
2447900.5	11.3	-48	152.6	3
2447960.5	11.3	-48	152.7	3
2448020.5	11.3	-48	152.8	3
2448080.5	11.3	-48	153	3
2448140.5	11.3	-48	153.3	3
2448200.5	11.3	-48	153.6	3
2448260.5	11.3	-48	153.9	2.9
2448320.5	11.3	-48	154.2	2.9
2448380.5	11.3	-48	154.4	2.9
2448440.5	11.3	-48	154.6	2.9
2448500.5	11.3	-48	154.7	2.9
2448560.5	11.3	-48	154.7	2.9
2448620.5	11.3	-48	154.6	2.9
2448680.5	11.3	-48	154.6	2.9
2448740.5	11.3	-48	154.5	2.9
2448800.5	11.3	-48	154.4	2.9
2448860.5	11.3	-48	154.4	2.9
2448920.5	11.3	-48	154.4	2.9
2448980.5	11.3	-48	154.3	2.9
2449040.5	11.3	-48	154.2	2.9
2449100.5	11.3	-48	154	2.9
2449160.5	11.3	-48	153.9	2.9
2449220.5	11.3	-48	153.8	2.9
2449280.5	11.3	-48	153.8	2.9
2449340.5	11.3	-48	153.8	2.9
2449400.5	11.3	-48	154	2.9
2449460.5	11.3	-48	154.3	2.9
2449520.5	11.3	-48	154.8	2.9
2449580.5	11.3	-48	155.3	2.9
2449640.5	11.3	-48	155.8	2.9
2449700.5	11.3	-48	156.4	2.9
2449760.5	11.3	-48	157.2	2.9
2449820.5	11.3	-48	158	2.8
2449880.5	11.3	-48	158.7	2.8
2449940.5	11.3	-48	159.3	2.8
2450000.5	11.3	-48	159.9	2.8
2450060.5	11.3	-48	160.2	2.8
2450120.5	11.3	-48	160.2	2.7
2450180.5	11.3	-48	160.1	2.7
2450240.5	11.3	-48	159.9	2.8
2450300.5	11.3	-48	159.6	2.8
2450360.5	11.3	-48	159.2	2.8
2450420.5	11.3	-48	158.7	2.8
2450480.5	11.3	-48	158.4	2.8
2450540.5	11.3	-48	158.2	2.8
2450600.5	11.3	-48	158.1	2.8
2450660.5	11.3	-48	158.2	2.8
2450720.5	11.3	-48	158.3	2.8
2450780.5	11.3	-48	158.4	2.8
2450840.5	11.3	-48	158.4	2.8
2450900.5	11.3	-48	158.4	2.8
2450960.5	11.3	-48	158.4	2.8
2451020.5	11.3	-48	158.2	2.8
2451080.5	11.3	-48	157.7	2.8
2451140.5	11.3	-48	157.2	2.8
2451200.5	11.3	-48	156.6	2.8
2451260.5	11.3	-48	156	2.8
2451320.5	11.3	-48	155.4	2.8
2451380.5	11.3	-48	155.1	2.8
2451440.5	11.3	-48	155	2.8
2451500.5	11.3	-48	155.1	2.8
2451560.5	11.3	-48	155	2.9
2451620.5	11.3	-48	155	2.9
2451680.5	11.3	-48	155.1	2.9
2451740.5	11.3	-48	155.1	2.9
2451800.5	11.3	-48	155.2	2.9
2451860.5	11.3	-48	154.9	2.9
2451920.5	11.3	-48	154.6	2.9
2451980.5	11.3	-48	154.2	2.9
2452040.5	11.3	-48	153.8	2.9
2452100.5	11.3	-48	153.6	2.9
2452160.5	11.3	-48	153.1	2.9
2452220.5	11.3	-48	152.7	2.9
2452280.5	11.3	-48	152.2	2.9
2452340.5	11.3	-48	152	2.9
2452400.5	11.3	-48	151.8	2.9
2452460.5	11.3	-48	151.6	2.9
2452520.5	11.3	-48	151.5	2.9
2452580.5	11.3	-48	151.6	2.9
2452640.5	11.3	-48	151.7	2.9
2452700.5	11.3	-48	151.9	2.9
2452760.5	11.3	-48	152.2	2.9
2452820.5	11.3	-48	152.7	2.9
2452880.5	11.3	-48	153.1	2.9
2452940.5	11.3	-48	153.6	2.9
2453000.5	11.3	-48	153.6	2.9
2453060.5	11.3	-48	153.8	2.9
2453120.5	11.3	-48	154	2.9
