Julian Date	Pc Latitude (deg)	Temperature (K)	Temperature uncertainty (K)
2445380.5	334	-48	123.4	1.9
2445440.5	334	-48	123.4	1.9
2445500.5	334	-48	123.4	1.9
2445560.5	334	-48	123.5	1.9
2445620.5	334	-48	123.5	1.9
2445680.5	334	-48	123.5	1.9
2445740.5	334	-48	123.4	1.9
2445800.5	334	-48	123.4	1.9
2445860.5	334	-48	123.3	1.9
2445920.5	334	-48	123.3	1.9
2445980.5	334	-48	123.2	1.9
2446040.5	334	-48	123.2	1.9
2446100.5	334	-48	123.1	1.9
2446160.5	334	-48	123.1	1.9
2446220.5	334	-48	123.1	1.9
2446280.5	334	-48	123.1	1.9
2446340.5	334	-48	123.2	1.9
2446400.5	334	-48	123.2	1.9
2446460.5	334	-48	123.3	1.9
2446520.5	334	-48	123.3	1.9
2446580.5	334	-48	123.4	1.9
2446640.5	334	-48	123.4	1.9
2446700.5	334	-48	123.4	1.9
2446760.5	334	-48	123.4	1.9
2446820.5	334	-48	123.4	1.9
2446880.5	334	-48	123.3	1.9
2446940.5	334	-48	123.2	1.9
2447000.5	334	-48	123.2	1.9
2447060.5	334	-48	123.1	1.9
2447120.5	334	-48	123.1	1.9
2447180.5	334	-48	123	1.9
2447240.5	334	-48	123	1.9
2447300.5	334	-48	122.9	1.9
2447360.5	334	-48	122.9	1.9
2447420.5	334	-48	122.9	1.9
2447480.5	334	-48	122.9	1.9
2447540.5	334	-48	123	1.9
2447600.5	334	-48	123.1	1.9
2447660.5	334	-48	123.2	1.9
2447720.5	334	-48	123.3	1.9
2447780.5	334	-48	123.4	1.9
2447840.5	334	-48	123.5	1.9
2447900.5	334	-48	123.6	1.9
2447960.5	334	-48	123.6	1.9
2448020.5	334	-48	123.6	1.9
2448080.5	334	-48	123.6	1.9
2448140.5	334	-48	123.6	1.9
2448200.5	334	-48	123.6	1.9
2448260.5	334	-48	123.7	1.9
2448320.5	334	-48	123.6	1.9
2448380.5	334	-48	123.6	1.9
2448440.5	334	-48	123.6	1.9
2448500.5	334	-48	123.5	1.9
2448560.5	334	-48	123.5	1.9
2448620.5	334	-48	123.5	1.9
2448680.5	334	-48	123.5	1.9
2448740.5	334	-48	123.5	1.9
2448800.5	334	-48	123.5	1.9
2448860.5	334	-48	123.4	1.9
2448920.5	334	-48	123.5	1.9
2448980.5	334	-48	123.5	1.9
2449040.5	334	-48	123.5	1.9
2449100.5	334	-48	123.5	1.9
2449160.5	334	-48	123.4	1.9
2449220.5	334	-48	123.4	1.9
2449280.5	334	-48	123.4	1.9
2449340.5	334	-48	123.4	1.9
2449400.5	334	-48	123.4	1.9
2449460.5	334	-48	123.4	1.9
2449520.5	334	-48	123.4	1.9
2449580.5	334	-48	123.4	1.9
2449640.5	334	-48	123.4	1.9
2449700.5	334	-48	123.4	1.9
2449760.5	334	-48	123.4	1.9
2449820.5	334	-48	123.5	1.9
2449880.5	334	-48	123.5	1.9
2449940.5	334	-48	123.6	1.9
2450000.5	334	-48	123.7	1.9
2450060.5	334	-48	123.9	1.9
2450120.5	334	-48	123.9	1.3
2450180.5	334	-48	123.9	1.3
2450240.5	334	-48	123.9	1.3
2450300.5	334	-48	123.8	1.3
2450360.5	334	-48	123.7	1.3
2450420.5	334	-48	123.6	1.3
2450480.5	334	-48	123.5	1.3
2450540.5	334	-48	123.4	1.3
2450600.5	334	-48	123.3	1.3
2450660.5	334	-48	123.2	1.3
2450720.5	334	-48	123	1.3
2450780.5	334	-48	123	1.3
2450840.5	334	-48	123	1.3
2450900.5	334	-48	122.9	1.3
2450960.5	334	-48	123	1.3
2451020.5	334	-48	123.1	1.3
2451080.5	334	-48	123.2	1.3
2451140.5	334	-48	123.4	1.3
2451200.5	334	-48	123.5	1.3
2451260.5	334	-48	123.6	1.3
2451320.5	334	-48	123.5	1.3
2451380.5	334	-48	123.3	1.3
