Julian Date	Pc Latitude (deg)	Temperature (K)	Temperature uncertainty (K)
2445380.5	501.5	-48	139.4	1.6
2445440.5	501.5	-48	139.4	1.6
2445500.5	501.5	-48	139.4	1.6
2445560.5	501.5	-48	139.4	1.6
2445620.5	501.5	-48	139.3	1.6
2445680.5	501.5	-48	139.3	1.6
2445740.5	501.5	-48	139.2	1.6
2445800.5	501.5	-48	139.2	1.6
2445860.5	501.5	-48	139.2	1.6
2445920.5	501.5	-48	139.1	1.6
2445980.5	501.5	-48	139	1.6
2446040.5	501.5	-48	139	1.6
2446100.5	501.5	-48	139.1	1.6
2446160.5	501.5	-48	139.1	1.6
2446220.5	501.5	-48	139.2	1.6
2446280.5	501.5	-48	139.3	1.6
2446340.5	501.5	-48	139.4	1.6
2446400.5	501.5	-48	139.6	1.7
2446460.5	501.5	-48	139.7	1.7
2446520.5	501.5	-48	139.8	1.7
2446580.5	501.5	-48	139.8	1.7
2446640.5	501.5	-48	139.9	1.7
2446700.5	501.5	-48	139.9	1.7
2446760.5	501.5	-48	139.9	1.7
2446820.5	501.5	-48	140	1.7
2446880.5	501.5	-48	140	1.7
2446940.5	501.5	-48	139.9	1.7
2447000.5	501.5	-48	139.7	1.7
2447060.5	501.5	-48	139.5	1.7
2447120.5	501.5	-48	139.4	1.7
2447180.5	501.5	-48	139.2	1.7
2447240.5	501.5	-48	139	1.7
2447300.5	501.5	-48	138.9	1.7
2447360.5	501.5	-48	138.7	1.7
2447420.5	501.5	-48	138.7	1.7
2447480.5	501.5	-48	138.7	1.7
2447540.5	501.5	-48	138.8	1.7
2447600.5	501.5	-48	138.9	1.7
2447660.5	501.5	-48	139.2	1.7
2447720.5	501.5	-48	139.4	1.7
2447780.5	501.5	-48	139.6	1.6
2447840.5	501.5	-48	139.8	1.6
2447900.5	501.5	-48	139.9	1.6
2447960.5	501.5	-48	140	1.6
2448020.5	501.5	-48	140.1	1.6
2448080.5	501.5	-48	140.1	1.6
2448140.5	501.5	-48	140	1.6
2448200.5	501.5	-48	139.9	1.6
2448260.5	501.5	-48	139.9	1.6
2448320.5	501.5	-48	139.7	1.6
2448380.5	501.5	-48	139.6	1.7
