Julian Date	Pc Latitude (deg)	Radiance x10^2 (nWcm^(-2)sr^(-1)(cm^-1)^(-1)))	Uncertainty (x10^2 (nWcm^(-2)sr^(-1)(cm^-1)^(-1))) Wavelength (µm)
   2449100.5000  -49.0      2.12365      0.08115  17.65
   2449160.5000  -49.0      2.12275      0.08115  17.65
   2449220.5000  -49.0      2.12035      0.08115  17.65
   2449280.5000  -49.0      2.11684      0.08115  17.65
   2449340.5000  -49.0      2.11278      0.08115  17.65
   2449400.5000  -49.0      2.10887      0.08115  17.65
   2449460.5000  -49.0      2.10582      0.08115  17.65
   2449520.5000  -49.0      2.10432      0.08115  17.65
   2449580.5000  -49.0      2.10151      0.08115  17.65
   2449640.5000  -49.0      2.10395      0.08115  17.65
   2449700.5000  -49.0      2.11274      0.08115  17.65
   2449760.5000  -49.0      2.12453      0.08115  17.65
   2449820.5000  -49.0      2.14006      0.08115  17.65
   2449880.5000  -49.0      2.16281      0.08115  17.65
   2449940.5000  -49.0      2.18502      0.08115  17.65
   2450000.5000  -49.0      2.20346      0.08115  17.65
   2450060.5000  -49.0      2.21404      0.08115  17.65
   2450120.5000  -49.0      2.21646      0.08115  17.65
   2450180.5000  -49.0      2.21617      0.08115  17.65
   2450240.5000  -49.0      2.21027      0.08115  17.65
   2450300.5000  -49.0      2.19248      0.08115  17.65
   2450360.5000  -49.0      2.18158      0.08115  17.65
   2450420.5000  -49.0      2.16805      0.08115  17.65
   2450480.5000  -49.0      2.14944      0.08115  17.65
   2450540.5000  -49.0      2.12930      0.08115  17.65
   2450600.5000  -49.0      2.11052      0.08115  17.65
   2450660.5000  -49.0      2.09542      0.08115  17.65
   2450720.5000  -49.0      2.08451      0.08115  17.65
   2450780.5000  -49.0      2.08054      0.08115  17.65
   2450840.5000  -49.0      2.08006      0.08115  17.65
   2450900.5000  -49.0      2.08212      0.08115  17.65
   2450960.5000  -49.0      2.08429      0.08115  17.65
   2451020.5000  -49.0      2.08101      0.08115  17.65
   2451080.5000  -49.0      2.08017      0.08115  17.65
   2451140.5000  -49.0      2.08102      0.08115  17.65
   2451200.5000  -49.0      2.08081      0.08115  17.65
   2451260.5000  -49.0      2.07402      0.08115  17.65
   2451320.5000  -49.0      2.07941      0.08115  17.65
   2451380.5000  -49.0      2.07485      0.08115  17.65
   2451440.5000  -49.0      2.06328      0.08115  17.65
   2451500.5000  -49.0      2.04193      0.08115  17.65
   2451560.5000  -49.0      2.02314      0.08115  17.65
   2451620.5000  -49.0      2.01040      0.08115  17.65
   2451680.5000  -49.0      1.99641      0.08115  17.65
   2451740.5000  -49.0      1.97915      0.08115  17.65
   2451800.5000  -49.0      1.97086      0.08115  17.65
   2451860.5000  -49.0      1.96128      0.08115  17.65
   2451920.5000  -49.0      1.94980      0.08115  17.65
   2451980.5000  -49.0      1.94049      0.08115  17.65
   2452040.5000  -49.0      1.93092      0.08115  17.65
   2452100.5000  -49.0      1.92325      0.08115  17.65
   2452160.5000  -49.0      1.91853      0.08115  17.65
   2452220.5000  -49.0      1.91923      0.08115  17.65
   2452280.5000  -49.0      1.92080      0.08115  17.65
   2452340.5000  -49.0      1.92796      0.08115  17.65
   2452400.5000  -49.0      1.93951      0.08115  17.65
   2452460.5000  -49.0      1.94783      0.08115  17.65
   2452520.5000  -49.0      1.95885      0.08115  17.65
   2452580.5000  -49.0      1.97487      0.08115  17.65
